[0.000000]	            SB_batch	Wait for tasks
[272.000000]	       external_load	Send task1 to "Batch1"
[272.000000]	            SB_batch	Receive "task1" from "Batch1"
[272.000000]	    Resource manager	Detach Supervisor0
[272.000000]	         Supervisor0	HELLO!
[272.000000]	         Supervisor0	Processing job task1
[554.000000]	       external_load	Send task2 to "Batch1"
[554.000000]	            SB_batch	Receive "task2" from "Batch1"
[554.000000]	    Resource manager	Detach Supervisor1
[554.000000]	         Supervisor1	HELLO!
[554.000000]	         Supervisor1	Processing job task2
[852.000000]	       external_load	Send task3 to "Batch1"
[852.000000]	            SB_batch	Receive "task3" from "Batch1"
[1134.000000]	       external_load	Send task4 to "Batch1"
[1134.000000]	            SB_batch	Receive "task4" from "Batch1"
[1431.000000]	       external_load	Send task5 to "Batch1"
[1431.000000]	            SB_batch	Receive "task5" from "Batch1"
[1560.000000]	    Resource manager	Attach Supervisor0
[1560.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[1560.000000]	            SB_batch	task1 done
[1711.000000]	       external_load	Send task6 to "Batch1"
[1711.000000]	            SB_batch	Receive "task6" from "Batch1"
[2011.000000]	       external_load	Send task7 to "Batch1"
[2011.000000]	            SB_batch	Receive "task7" from "Batch1"
[2116.000000]	    Resource manager	Attach Supervisor1
[2116.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[2116.000000]	            SB_batch	task2 done
[2116.000000]	    Resource manager	Detach Supervisor0
[2116.000000]	         Supervisor0	Processing job task3
[2279.000000]	       external_load	Send task8 to "Batch1"
[2279.000000]	            SB_batch	Receive "task8" from "Batch1"
[2598.000000]	       external_load	Send task9 to "Batch1"
[2598.000000]	            SB_batch	Receive "task9" from "Batch1"
[2832.000000]	    Resource manager	Attach Supervisor0
[2832.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[2832.000000]	            SB_batch	task3 done
[2832.000000]	    Resource manager	Detach Supervisor1
[2832.000000]	    Resource manager	Detach Supervisor0
[2832.000000]	         Supervisor1	Processing job task4
[2832.000000]	         Supervisor0	Processing job task5
[2872.000000]	       external_load	Send task10 to "Batch1"
[2872.000000]	            SB_batch	Receive "task10" from "Batch1"
[3162.000000]	       external_load	Send task11 to "Batch1"
[3162.000000]	            SB_batch	Receive "task11" from "Batch1"
[3454.000000]	       external_load	Send task12 to "Batch1"
[3454.000000]	            SB_batch	Receive "task12" from "Batch1"
[3745.000000]	       external_load	Send task13 to "Batch1"
[3745.000000]	            SB_batch	Receive "task13" from "Batch1"
[3840.000000]	    Resource manager	Attach Supervisor0
[3840.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[3840.000000]	            SB_batch	task5 done
[3840.000000]	    Resource manager	Detach Supervisor0
[3840.000000]	         Supervisor0	Processing job task8
[4065.000000]	       external_load	Send task14 to "Batch1"
[4065.000000]	            SB_batch	Receive "task14" from "Batch1"
[4075.000000]	    Resource manager	Attach Supervisor1
[4075.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[4075.000000]	            SB_batch	task4 done
[4361.000000]	       external_load	Send task15 to "Batch1"
[4361.000000]	            SB_batch	Receive "task15" from "Batch1"
[4669.000000]	       external_load	Send task16 to "Batch1"
